year,city,San Jose_avg_temp,global_avg_temp,,Year,5 years SAN JOSE Moving Avg,5 Years Global moving Average,,,Year,10 years SAN JOSE Moving Avg,10 Years Global moving Average,,,,,,,,,,year,10 Year Moving Avg_San Jose,10 Year Moving Avg_Global,,,Year,5 Year Moving Avg_San Jose,5 Year Moving Avg_Global,,,,Year,15 Year Moving Avg_San Jose,15 Year Moving Avg_Global
1849,San Jose,14.12,7.98,,1853,14.08333333,8.068333333,,,1858,14.177,8.038,,,,,,,,,,1858,14.177,8.038,,,1854,14.08333333,8.068333333,,,,1864,14.263125,8.005625
1850,San Jose,13.8,7.9,,1854,14.09666667,8.09,,,1859,14.136,8.065,,,,,,,,,,1859,14.136,8.065,,,1855,14.09666667,8.09,,,,1865,14.275625,8.018125
1851,San Jose,14.39,8.18,,1855,14.14666667,8.106666667,,,1860,14.137,8.071,,,,,,,,,,1860,14.137,8.071,,,1856,14.14666667,8.106666667,,,,1866,14.33,8.0425
1852,San Jose,13.81,8.1,,1856,14.21166667,8.036666667,,,1861,14.186,8.038,,,,,,,,,,1861,14.186,8.038,,,1857,14.21166667,8.036666667,,,,1867,14.334375,8.05875
1853,San Jose,14.4,8.04,,1857,14.275,8.036666667,,,1862,14.248,7.984,,,,,,,,,,1862,14.248,7.984,,,1858,14.275,8.036666667,,,,1868,14.361875,8.068125
1854,San Jose,13.98,8.21,,1858,14.16,8.071666667,,,1863,14.251,7.991,,,,,,,,,,1863,14.251,7.991,,,1859,14.16,8.071666667,,,,1869,14.3725,8.0925
1855,San Jose,14.2,8.11,,1859,14.13166667,8.03,,,1864,14.371,7.968,,,,,,,,,,1864,14.371,7.968,,,1860,14.13166667,8.03,,,,1870,14.385625,8.091875
1856,San Jose,14.1,8,,1860,14.245,7.986666667,,,1865,14.383,7.975,,,,,,,,,,1865,14.383,7.975,,,1861,14.245,7.986666667,,,,1871,14.394375,8.0925
1857,San Jose,14.78,7.76,,1861,14.3,7.913333333,,,1866,14.44,8.004,,,,,,,,,,1866,14.44,8.004,,,1862,14.3,7.913333333,,,,1872,14.4275,8.104375
1858,San Jose,14.19,8.1,,1862,14.24166667,7.971666667,,,1867,14.408,8.072,,,,,,,,,,1867,14.408,8.072,,,1863,14.24166667,7.971666667,,,,1873,14.4075,8.14125
1859,San Jose,13.71,8.25,,1863,14.40666667,7.951666667,,,1868,14.414,8.087,,,,,,,,,,1868,14.414,8.087,,,1864,14.40666667,7.951666667,,,,1874,14.40125,8.161875
1860,San Jose,13.81,7.96,,1864,14.50833333,7.94,,,1869,14.5,8.105,,,,,,,,,,1869,14.5,8.105,,,1865,14.50833333,7.94,,,,1875,14.466875,8.1375
1861,San Jose,14.88,7.85,,1865,14.65166667,7.995,,,1870,14.538,8.129,,,,,,,,,,1870,14.538,8.129,,,1866,14.65166667,7.995,,,,1876,14.50625,8.145
1862,San Jose,14.43,7.56,,1866,14.58166667,8.093333333,,,1871,14.484,8.156,,,,,,,,,,1871,14.484,8.156,,,1867,14.58166667,8.093333333,,,,1877,14.515625,8.188125
1863,San Jose,14.43,8.11,,1867,14.55166667,8.208333333,,,1872,14.504,8.219,,,,,,,,,,1872,14.504,8.219,,,1868,14.55166667,8.208333333,,,,1878,14.511875,8.2675
1864,San Jose,15.18,7.98,,1868,14.575,8.261666667,,,1873,14.507,8.243,,,,,,,,,,1873,14.507,8.243,,,1869,14.575,8.261666667,,,,1879,14.4975,8.27125
1865,San Jose,14.32,8.18,,1869,14.41,8.298333333,,,1874,14.398,8.288,,,,,,,,,,1874,14.398,8.288,,,1870,14.41,8.298333333,,,,1880,14.375,8.28
1866,San Jose,14.67,8.29,,1870,14.41333333,8.288333333,,,1875,14.442,8.256,,,,,,,,,,1875,14.442,8.256,,,1871,14.41333333,8.288333333,,,,1881,14.379375,8.285625
1867,San Jose,14.46,8.44,,1871,14.40666667,8.271666667,,,1876,14.419,8.235,,,,,,,,,,1876,14.419,8.235,,,1872,14.40666667,8.271666667,,,,1882,14.31125,8.275625
1868,San Jose,14.25,8.25,,1872,14.40666667,8.256666667,,,1877,14.476,8.245,,,,,,,,,,1877,14.476,8.245,,,1873,14.40666667,8.256666667,,,,1883,14.278125,8.246875
1869,San Jose,14.57,8.43,,1873,14.38,8.286666667,,,1878,14.488,8.303,,,,,,,,,,1878,14.488,8.303,,,1874,14.38,8.286666667,,,,1884,14.265625,8.216875
